File,Model,GT_Text,Pred_Text,GT_Phonemes,Pred_Phonemes,MCD,F0_RMSE_Log,VDE,GPE,Dur_Diff_s,WER,CER,PER,HuBERT_Sim,SEC
jvm_05522_00169215191,id_base,kipas angin metunane pletter tletter maspion semilir timbang liyane, ipas angin metunannya pt mas pion semilir timbang lian,kipasaŋɡinmatunanepetemaspionsomilirtmbaŋliani,ipasaŋinmetunanpetemaspjonsamilertimbaŋliano,6.936,0.52,0.102,0.733,0.816,0.667,0.284,0.196,0.984,0.198
jvm_05522_00169215191,id_zeroshot,kipas angin metunane pletter tletter maspion semilir timbang liyane, kipas angin metunana pt mas pion semilir timbang lianl,kipasaŋɡinmatunanepetemaspionsomilirtmbaŋliani,kiːpasaŋinmatunanapeːtaɪmaspjonsəmilertimbaŋlianop,6.806,0.378,0.039,0.565,0.716,0.556,0.254,0.261,0.991,0.52
jvm_05522_00169215191,jv_baseline,kipas angin metunane pletter tletter maspion semilir timbang liyane, kipas angin metona nepete maspion semiler timbang liyana,kipasaŋɡinmatunanepetemaspionsomilirtmbaŋliani,kipasaŋinmatonanepetemaspjonsammilertimbaŋlianev,6.26,0.199,0.052,0.126,0.066,0.556,0.239,0.196,0.996,0.786
jvm_05522_00169215191,LPEP,kipas angin metunane pletter tletter maspion semilir timbang liyane, kipas angin metunan ept mas pion semiler timbang lian,kipasaŋɡinmatunanepetemaspionsomilirtmbaŋliani,kipasaŋenmatonanepetemaspjonsamilertimbaŋlian,6.412,0.286,0.075,0.35,1.116,0.667,0.269,0.174,0.987,0.715
jvm_05522_00169215191,PPIM,kipas angin metunane pletter tletter maspion semilir timbang liyane, kipas angin mentunannya pt mas biong semilir tim bang lian,kipasaŋɡinmatunanepetemaspionsomilirtmbaŋliani,kepasaŋenmantonanepetamaspionsamilertimbeŋliani,6.223,0.152,0.049,0.061,0.191,0.778,0.328,0.217,0.994,0.637
jvm_05522_00169215191,LPEP_PPIM,kipas angin metunane pletter tletter maspion semilir timbang liyane, kipas angen mentona nepete maspian semile tingbang liyani,kipasaŋɡinmatunanepetemaspionsomilirtmbaŋliani,kipasaŋenmatonanepetemaspjonsamilertimbaŋliani,5.998,0.182,0.064,0.132,0.366,0.889,0.328,0.152,0.996,0.721
jvm_05522_00422789453,id_base,wis jam sanga isuk tapi durung padha tangi kaya kebo, pis jam sangat isu tapi durung pada tangi kaya kebal,westʃamsoŋoisotapituruŋpototanikojokappu,isdʒemsaŋaiːsuktapiduruŋpadeɾtaŋikaɪjakaba,6.97,0.404,0.18,0.704,1.092,0.5,0.115,0.55,0.978,0.249
jvm_05522_00422789453,id_zeroshot,wis jam sanga isuk tapi durung padha tangi kaya kebo, wiss jam sangat isuk tapi durung pada tangi kayak ke bawah,westʃamsoŋoisotapituruŋpototanikojokappu,wisdʒamsaːŋiːsuktapidurumpadetaŋikaɪjakabɔ,6.756,0.312,0.129,0.373,1.092,0.6,0.173,0.525,0.972,0.437
jvm_05522_00422789453,jv_baseline,wis jam sanga isuk tapi durung padha tangi kaya kebo, west jamsanga isuk tapi durung podotangi koya kebunuh,westʃamsoŋoisotapituruŋpototanikojokappu,westʃemsaŋoisoktapituruŋpototaɲikojakoppod,6.022,0.132,0.085,0.018,0.158,0.7,0.231,0.2,0.994,0.602
jvm_05522_00422789453,LPEP,wis jam sanga isuk tapi durung padha tangi kaya kebo, waste jam sangat isu tapi durung pada tangi kayak keputusan,westʃamsoŋoisotapituruŋpototanikojokappu,vestʃemsaŋaisotapituruŋpatotaɲikjokappu,6.212,0.193,0.18,0.101,1.342,0.6,0.269,0.175,0.98,0.623
